Entity,Code,Year,Share - Question: mh8d - Took prescribed medication when anxious/depressed - Answer: Yes - Gender: all - Age_group: all
Africa,,2020,39.97995
Albania,ALB,2020,40.897434
Argentina,ARG,2020,37.718056
Asia,,2020,46.9011
Australia,AUS,2020,71.37634
Austria,AUT,2020,57.572258
Bahrain,BHR,2020,35.087814
Bangladesh,BGD,2020,18.87141
Belgium,BEL,2020,64.07484
Benin,BEN,2020,59.201405
Bolivia,BOL,2020,41.01212
Bosnia and Herzegovina,BIH,2020,62.897697
Brazil,BRA,2020,44.71939
Bulgaria,BGR,2020,41.78128
Burkina Faso,BFA,2020,52.244404
Cameroon,CMR,2020,52.659348
Canada,CAN,2020,72.9736
Chile,CHL,2020,61.50862
China,CHN,2020,32.706
Colombia,COL,2020,40.58397
Congo,COG,2020,48.305004
Costa Rica,CRI,2020,42.244644
Cote d'Ivoire,CIV,2020,45.18166
Croatia,HRV,2020,70.84487
Cyprus,CYP,2020,28.826624
Czechia,CZE,2020,54.377163
Denmark,DNK,2020,52.795513
Dominican Republic,DOM,2020,39.4342
Ecuador,ECU,2020,51.58834
Egypt,EGY,2020,15.95659
El Salvador,SLV,2020,63.724495
Estonia,EST,2020,61.259014
Ethiopia,ETH,2020,28.758259
Europe,,2020,57.03305
Finland,FIN,2020,62.72813
France,FRA,2020,74.54138
Gabon,GAB,2020,44.71403
Georgia,GEO,2020,56.773544
Germany,DEU,2020,63.503086
Ghana,GHA,2020,26.98448
Greece,GRC,2020,41.507545
Guinea,GIN,2020,65.84057
High-income countries,,2020,64.425446
Hong Kong,HKG,2020,49.401466
Hungary,HUN,2020,45.364056
India,IND,2020,56.84162
Indonesia,IDN,2020,45.8359
Iran,IRN,2020,45.45148
Iraq,IRQ,2020,32.616188
Ireland,IRL,2020,63.34675
Italy,ITA,2020,62.11947
Jordan,JOR,2020,28.47173
Kazakhstan,KAZ,2020,59.524925
Kenya,KEN,2020,54.098003
Kosovo,OWID_KOS,2020,37.151733
Kyrgyzstan,KGZ,2020,49.35139
Laos,LAO,2020,68.3357
Latvia,LVA,2020,42.87858
Lebanon,LBN,2020,28.97568
Low-income countries,,2020,41.773266
Lower-middle-income countries,,2020,48.588146
Malaysia,MYS,2020,27.11038
Mali,MLI,2020,70.03972
Malta,MLT,2020,61.17238
Mauritius,MUS,2020,37.03962
Mexico,MEX,2020,43.40719
Moldova,MDA,2020,53.4431
Mongolia,MNG,2020,35.463108
Morocco,MAR,2020,30.475817
Myanmar,MMR,2020,46.749012
Nepal,NPL,2020,37.241043
Netherlands,NLD,2020,49.164993
New Zealand,NZL,2020,69.73122
Nicaragua,NIC,2020,58.88539
Nigeria,NGA,2020,43.29604
North America,,2020,60.56411
North Macedonia,MKD,2020,52.5816
Norway,NOR,2020,45.256138
Oceania,,2020,71.19648
Paraguay,PRY,2020,42.035915
Peru,PER,2020,54.38118
Philippines,PHL,2020,41.717888
Poland,POL,2020,68.5301
Portugal,PRT,2020,67.66625
Romania,ROU,2020,42.768414
Russia,RUS,2020,41.115032
Saudi Arabia,SAU,2020,16.64432
Senegal,SEN,2020,57.25855
Slovakia,SVK,2020,51.572186
South Africa,ZAF,2020,47.996967
South America,,2020,45.060337
South Korea,KOR,2020,46.21585
Spain,ESP,2020,72.852615
Sri Lanka,LKA,2020,44.99341
Sweden,SWE,2020,59.277653
Switzerland,CHE,2020,72.21736
Tanzania,TZA,2020,44.095016
Thailand,THA,2020,48.773006
Tunisia,TUN,2020,29.997808
Turkey,TUR,2020,48.557346
Uganda,UGA,2020,39.75472
Ukraine,UKR,2020,34.739998
United Arab Emirates,ARE,2020,29.405935
United Kingdom,GBR,2020,76.715744
United States,USA,2020,67.084915
Upper-middle-income countries,,2020,40.129444
Uruguay,URY,2020,58.520935
Uzbekistan,UZB,2020,61.056923
Venezuela,VEN,2020,36.114902
Vietnam,VNM,2020,47.534718
World,OWID_WRL,2020,48.85285
Zambia,ZMB,2020,35.759483
Zimbabwe,ZWE,2020,41.948612